timestamp,demand_mw,observation_type,source,report_file
2026-07-14T10:00:00+05:30,3598.0,morning_peak,MSLDC Daily System Operations Report,WEBSITE14Jul2026.pdf
2026-07-14T16:00:00+05:30,3722.0,day_peak,MSLDC Daily System Operations Report,WEBSITE14Jul2026.pdf
2026-07-14T20:00:00+05:30,3533.0,evening_peak,MSLDC Daily System Operations Report,WEBSITE14Jul2026.pdf
2026-07-15T03:00:00+05:30,2616.0,night_minimum,MSLDC Daily System Operations Report,WEBSITE15Jul2026.pdf
2026-07-15T10:00:00+05:30,4033.0,morning_peak,MSLDC Daily System Operations Report,WEBSITE15Jul2026.pdf
2026-07-15T16:00:00+05:30,3928.0,day_peak,MSLDC Daily System Operations Report,WEBSITE15Jul2026.pdf
2026-07-15T20:00:00+05:30,3567.0,evening_peak,MSLDC Daily System Operations Report,WEBSITE15Jul2026.pdf
2026-07-16T03:00:00+05:30,2759.0,night_minimum,MSLDC Daily System Operations Report,WEBSITE16Jul2026.pdf
2026-07-16T10:00:00+05:30,3547.0,morning_peak,MSLDC Daily System Operations Report,WEBSITE16Jul2026.pdf
2026-07-16T16:00:00+05:30,3783.0,day_peak,MSLDC Daily System Operations Report,WEBSITE16Jul2026.pdf
2026-07-16T20:00:00+05:30,3571.0,evening_peak,MSLDC Daily System Operations Report,WEBSITE16Jul2026.pdf
2026-07-17T03:00:00+05:30,2735.0,night_minimum,MSLDC Daily System Operations Report,WEBSITE17Jul2026.pdf
2026-07-17T10:00:00+05:30,3649.0,morning_peak,MSLDC Daily System Operations Report,WEBSITE17Jul2026.pdf
2026-07-17T16:00:00+05:30,3763.0,day_peak,MSLDC Daily System Operations Report,WEBSITE17Jul2026.pdf
2026-07-17T20:00:00+05:30,3645.0,evening_peak,MSLDC Daily System Operations Report,WEBSITE17Jul2026.pdf
2026-07-18T03:00:00+05:30,2587.0,night_minimum,MSLDC Daily System Operations Report,WEBSITE18Jul2026.pdf
2026-07-18T10:00:00+05:30,3734.0,morning_peak,MSLDC Daily System Operations Report,WEBSITE18Jul2026.pdf
2026-07-18T16:00:00+05:30,3870.0,day_peak,MSLDC Daily System Operations Report,WEBSITE18Jul2026.pdf
2026-07-18T20:00:00+05:30,3281.0,evening_peak,MSLDC Daily System Operations Report,WEBSITE18Jul2026.pdf
2026-07-19T03:00:00+05:30,2458.0,night_minimum,MSLDC Daily System Operations Report,WEBSITE19Jul2026.pdf
2026-07-19T10:00:00+05:30,2723.0,morning_peak,MSLDC Daily System Operations Report,WEBSITE19Jul2026.pdf
2026-07-19T16:00:00+05:30,3164.0,day_peak,MSLDC Daily System Operations Report,WEBSITE19Jul2026.pdf
2026-07-19T20:00:00+05:30,2828.0,evening_peak,MSLDC Daily System Operations Report,WEBSITE19Jul2026.pdf
2026-07-20T03:00:00+05:30,2525.0,night_minimum,MSLDC Daily System Operations Report,WEBSITE20Jul2026.pdf
2026-07-20T10:00:00+05:30,3618.0,morning_peak,MSLDC Daily System Operations Report,WEBSITE20Jul2026.pdf
2026-07-20T16:00:00+05:30,3792.0,day_peak,MSLDC Daily System Operations Report,WEBSITE20Jul2026.pdf
2026-07-20T20:00:00+05:30,3255.0,evening_peak,MSLDC Daily System Operations Report,WEBSITE20Jul2026.pdf
2026-07-21T03:00:00+05:30,2367.0,night_minimum,MSLDC Daily System Operations Report,WEBSITE21Jul2026.pdf
2026-07-21T10:00:00+05:30,3489.0,morning_peak,MSLDC Daily System Operations Report,WEBSITE21Jul2026.pdf
2026-07-21T16:00:00+05:30,3896.0,day_peak,MSLDC Daily System Operations Report,WEBSITE21Jul2026.pdf
2026-07-21T20:00:00+05:30,3396.0,evening_peak,MSLDC Daily System Operations Report,WEBSITE21Jul2026.pdf
2026-07-22T03:00:00+05:30,2315.0,night_minimum,MSLDC Daily System Operations Report,WEBSITE22Jul2026.pdf
2026-07-22T10:00:00+05:30,3412.0,morning_peak,MSLDC Daily System Operations Report,WEBSITE22Jul2026.pdf
2026-07-22T16:00:00+05:30,3394.0,day_peak,MSLDC Daily System Operations Report,WEBSITE22Jul2026.pdf
2026-07-22T20:00:00+05:30,3327.0,evening_peak,MSLDC Daily System Operations Report,WEBSITE22Jul2026.pdf
2026-07-23T03:00:00+05:30,2230.0,night_minimum,MSLDC Daily System Operations Report,WEBSITE23Jul2026.pdf
2026-07-23T10:00:00+05:30,3118.0,morning_peak,MSLDC Daily System Operations Report,WEBSITE23Jul2026.pdf
2026-07-23T16:00:00+05:30,3402.0,day_peak,MSLDC Daily System Operations Report,WEBSITE23Jul2026.pdf
2026-07-23T20:00:00+05:30,3336.0,evening_peak,MSLDC Daily System Operations Report,WEBSITE23Jul2026.pdf
2026-07-24T03:00:00+05:30,2205.0,night_minimum,MSLDC Daily System Operations Report,WEBSITE24Jul2026.pdf
2026-07-24T10:00:00+05:30,3511.0,morning_peak,MSLDC Daily System Operations Report,WEBSITE24Jul2026.pdf
2026-07-24T16:00:00+05:30,3449.0,day_peak,MSLDC Daily System Operations Report,WEBSITE24Jul2026.pdf
2026-07-24T20:00:00+05:30,3370.0,evening_peak,MSLDC Daily System Operations Report,WEBSITE24Jul2026.pdf
2026-07-25T03:00:00+05:30,2302.0,night_minimum,MSLDC Daily System Operations Report,WEBSITE25Jul2026.pdf
2026-07-25T10:00:00+05:30,3264.0,morning_peak,MSLDC Daily System Operations Report,WEBSITE25Jul2026.pdf
2026-07-25T16:00:00+05:30,3270.0,day_peak,MSLDC Daily System Operations Report,WEBSITE25Jul2026.pdf
2026-07-25T20:00:00+05:30,3241.0,evening_peak,MSLDC Daily System Operations Report,WEBSITE25Jul2026.pdf
2026-07-26T03:00:00+05:30,2455.0,night_minimum,MSLDC Daily System Operations Report,WEBSITE26Jul2026.pdf
2026-07-26T10:00:00+05:30,2599.0,morning_peak,MSLDC Daily System Operations Report,WEBSITE26Jul2026.pdf
2026-07-26T16:00:00+05:30,2771.0,day_peak,MSLDC Daily System Operations Report,WEBSITE26Jul2026.pdf
2026-07-26T20:00:00+05:30,2919.0,evening_peak,MSLDC Daily System Operations Report,WEBSITE26Jul2026.pdf
2026-07-27T03:00:00+05:30,2294.0,night_minimum,MSLDC Daily System Operations Report,WEBSITE27Jul2026.pdf
2026-07-27T10:00:00+05:30,3712.0,morning_peak,MSLDC Daily System Operations Report,WEBSITE27Jul2026.pdf
2026-07-27T16:00:00+05:30,3518.0,day_peak,MSLDC Daily System Operations Report,WEBSITE27Jul2026.pdf
2026-07-27T20:00:00+05:30,3439.0,evening_peak,MSLDC Daily System Operations Report,WEBSITE27Jul2026.pdf
2026-07-28T03:00:00+05:30,2453.0,night_minimum,MSLDC Daily System Operations Report,WEBSITE28Jul2026.pdf
2026-07-28T10:00:00+05:30,3934.0,morning_peak,MSLDC Daily System Operations Report,WEBSITE28Jul2026.pdf
2026-07-28T16:00:00+05:30,3589.0,day_peak,MSLDC Daily System Operations Report,WEBSITE28Jul2026.pdf
2026-07-28T20:00:00+05:30,3477.0,evening_peak,MSLDC Daily System Operations Report,WEBSITE28Jul2026.pdf
2026-07-29T03:00:00+05:30,2540.0,night_minimum,MSLDC Daily System Operations Report,WEBSITE29Jul2026.pdf
2026-07-29T10:00:00+05:30,3610.0,morning_peak,MSLDC Daily System Operations Report,WEBSITE29Jul2026.pdf
2026-07-29T16:00:00+05:30,3851.0,day_peak,MSLDC Daily System Operations Report,WEBSITE29Jul2026.pdf
2026-07-29T20:00:00+05:30,3532.0,evening_peak,MSLDC Daily System Operations Report,WEBSITE29Jul2026.pdf
2026-07-30T03:00:00+05:30,2442.0,night_minimum,MSLDC Daily System Operations Report,WEBSITE30Jul2026.pdf
2026-07-30T10:00:00+05:30,3550.0,morning_peak,MSLDC Daily System Operations Report,WEBSITE30Jul2026.pdf
2026-07-30T16:00:00+05:30,3645.0,day_peak,MSLDC Daily System Operations Report,WEBSITE30Jul2026.pdf
2026-07-30T20:00:00+05:30,3476.0,evening_peak,MSLDC Daily System Operations Report,WEBSITE30Jul2026.pdf
2026-07-31T03:00:00+05:30,2406.0,night_minimum,MSLDC Daily System Operations Report,WEBSITE31Jul2026.pdf
2026-07-31T10:00:00+05:30,3556.0,morning_peak,MSLDC Daily System Operations Report,WEBSITE31Jul2026.pdf
2026-07-31T16:00:00+05:30,3496.0,day_peak,MSLDC Daily System Operations Report,WEBSITE31Jul2026.pdf
2026-07-31T20:00:00+05:30,3444.0,evening_peak,MSLDC Daily System Operations Report,WEBSITE31Jul2026.pdf
2026-08-01T03:00:00+05:30,2396.0,night_minimum,MSLDC Daily System Operations Report,WEBSITE01Aug2026.pdf
2026-08-01T10:00:00+05:30,2974.0,morning_peak,MSLDC Daily System Operations Report,WEBSITE01Aug2026.pdf
2026-08-01T16:00:00+05:30,3352.0,day_peak,MSLDC Daily System Operations Report,WEBSITE01Aug2026.pdf
